UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1, TCP_T_2,Label
1:54:35 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05795353,0.1097013,-0.09394743,-1.708879,0.6279604,-0.1364835,2.103021,-0.9676415,-0.2909415,0.06552742,-0.01125804,-0.2521025,Normal
1:54:36 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04628526,0.1117808,-0.0871792,-1.684168,0.6021655,-0.1462705,2.259363,-0.539477,-0.9526111,0.05171545,-0.02627683,-0.2581702,Normal
1:54:36 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.06101482,0.1064398,-0.09002244,-1.698789,0.6585333,-0.1800273,2.220051,-0.6114392,-0.6180694,0.05399999,-0.01788362,-0.257436,Normal
1:54:37 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05337796,0.1054209,-0.1022212,-1.677481,0.6480224,-0.1949243,2.064757,-0.8284366,-0.3670641,0.06065008,-0.01376373,-0.2480144,Normal
1:54:37 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.06942378,0.1148056,-0.0921727,-1.756927,0.6426597,-0.2518312,2.350671,-0.1148529,-0.9967396,0.04338785,-0.03035599,-0.2637133,Normal
1:54:38 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0580358,0.1052278,-0.09471951,-1.68409,0.6478611,-0.1836663,2.38501,-0.510915,-0.6855335,0.05202569,-0.02088191,-0.2604136,Normal
1:54:38 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0394203,0.1156798,-0.1236931,-1.717077,0.6739614,-0.2109277,2.256581,-0.8572161,-0.4508603,0.06072198,-0.01573885,-0.2470671,Normal
1:54:39 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.03365571,0.1043716,-0.09529906,-1.71242,0.6223725,-0.1828277,2.290311,-0.6628857,-0.6574194,0.05846122,-0.01772084,-0.2524666,Normal
1:54:39 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04495247,0.1100062,-0.09928802,-1.751261,0.6121531,-0.1312439,2.032849,-0.8935016,-0.2555971,0.06473509,-0.01020164,-0.2487863,Normal
1:54:40 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05690975,0.1064587,-0.1151783,-1.738578,0.632597,-0.1844085,2.132204,-0.6377363,-0.623356,0.05471152,-0.01871035,-0.2549181,Normal
1:54:40 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.06719302,0.1081048,-0.08151772,-1.70365,0.6071947,-0.175676,2.218183,-0.3216109,-0.7963929,0.04929866,-0.02302656,-0.2584922,Normal
1:54:41 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.07930264,0.1083731,-0.108891,-1.667387,0.6581196,-0.1540153,2.151782,-0.7568941,-0.5370105,0.06104906,-0.01421137,-0.2571059,Normal
